customer_no,total_enq_amt,total_enq_count
330,366000.0,10
331,2888000.0,13
332,53381000.0,13
333,3884499.0,22
334,347000.0,6
335,4855302.0,46
336,1116333.0,10
337,475000.0,5
338,6045386.0,27
339,257000.0,19
340,256000.0,7
341,1730000.0,41
342,13207476.0,36
343,9494000.0,60
344,240000.0,4
345,1993875.0,12
346,646001.0,9
347,448801.0,12
348,81000.0,4
349,3405500.0,32
350,977305.0,22
351,61000.0,3
352,386500.0,12
353,100489201.0,15
354,2531001.0,15
355,3221000.0,15
356,419846006.0,31
357,1940800.0,25
358,2466000.0,26
359,206000.0,9
360,790690.0,23
361,337000.0,10
362,101000.0,2
363,5230200.0,32
364,161000.0,4
365,2000.0,2
366,1614200.0,22
367,4455000.0,12
368,11675150.0,16
369,8319316.0,21
370,519764.0,13
371,100081000.0,6
372,251003.0,8
373,1297000.0,16
374,661000.0,8
375,203648885.0,48
376,1024000.0,7
377,277439.0,6
378,1872000.0,15
379,5451816.0,16
380,48000.0,2
381,3317000.0,48
382,901000.0,19
383,3392680.0,50
384,52000.0,3
385,200722.0,10
386,4959854.0,24
387,6568316.0,35
388,168200.0,4
389,251000.0,4
390,1050100.0,10
391,2952000.0,24
392,632000.0,14
393,1146600.0,27
394,13679000.0,28
395,1265000.0,15
396,1944500.0,25
397,3982178.0,31
398,1199992.0,8
399,3074001.0,18
400,10836080.0,26
401,10496151.0,24
402,104338211.0,35
403,938490.0,18
404,103469115.0,45
405,322500.0,10
406,2246000.0,35
407,3458006.0,52
408,185527020.0,68
409,1047000.0,14
410,146000.0,4
411,3180430.0,22
412,2716103.0,15
413,8371401.0,29
414,14837706.0,43
415,186000.0,6
416,2672301.0,15
417,1562000.0,33
418,3676276.0,36
419,152501.0,7
420,225301.0,7
421,1651100.0,23
422,102190740.0,51
423,3458000.0,22
424,974000.0,5
425,3885675.0,35
426,62000.0,4
427,104000.0,3
428,2351000.0,4
429,1933470.0,23
430,2329378.0,15
431,9627000.0,19
432,423350.0,14
433,3165374.0,35
434,12642000.0,16
435,713600.0,10
436,2933100.0,6
437,151000.0,4
438,100202000.0,8
439,109802.0,2
440,3631000.0,17
441,4150000.0,9
442,2051000.0,10
443,1789510.0,26
444,156000.0,8
445,0.0,0
446,113272100.0,37
447,2052000.0,16
448,978000.0,10
449,3189700.0,21
450,3679990.0,28
451,1373000.0,25
452,135000.0,2
